no,hotel_name,room_type,review_score,review_text,total_users,price_in_dollar
104,Lily Hotel Vientiane,Single Standard,7.9,Very good ,35,32.60
105,Villa Sisavad,N/A,7.4,Very good ,686,N/A
106,Mixok Inn,Standard Double Room,6.8,Good ,154,17.06
107,FAA Apartment,Superior King Room with balcony-Front site,7.9,Very good ,98,28.12
108,Davika Hotel,Budget Twin Room,7.9,Very good ,335,24.43
109,36Manor International Sport Hotel,Standard - Double,4.7,Fair ,2,56.95
110,Vientiane Homestay AAG,N/A,7.7,Very good ,48,20.80
111,No Name Studios,Double Room,9.5,Exceptional ,6,20.06
112,Phonepaseuth Hotel,Standard Twin Room,7.8,Very good ,271,22.38
113,Hotel Khamvongsa,Double Room,8.7,Excellent ,30,51.43
114,Sengdara Hotel,Standard Double Bed,6.9,Good ,119,19.15
115,San Jiang Grand Hotel,N/A,7.7,Very good ,378,N/A
116,Central Vienna Hostel,Standard Double,7,Very good ,69,17.12
117,Mixok Guesthouse,Standard Double,6.7,Good ,385,12.55
118,Khampiane1 Hotel,Deluxe Double Room,8.8,Excellent ,60,27.00
119,Vanhny Apartment Room 7 by Natkrita,N/A,N/A,N/A,N/A,34.09
120,Prime location 1 BR Apartment at the heart of Vientiane,N/A,N/A,N/A,N/A,41.03
121,khampiane hotel,Twin Room with Private Bathroom,8.7,Excellent ,164,34.29
122,Bayern Guesthouse,Standard Double,8,Excellent ,167,19.09
123,La Ong Dao Hotel 2,Standard Double Bed,6,Good ,146,13.12
124,Sengkeo Hotel,VIP Double Room,7.3,Very good ,31,27.26
125,Nakhonesack Hotel III,N/A,5.9,Fair ,66,N/A
126,Chanthasom Guest House,Standard Double Bed,6.9,Good ,45,13.98
127,Ali Local Home,Double or Twin Room with Shared Bathroom,8.4,Excellent ,50,13.69
128,Sinnakhone hotel,Standard Double Room,7.1,Very good ,425,24.80
129,Hunan Hotel,Deluxe Queen Room,6.2,Good ,6,43.06
130,Excellency Apartment,Standard Studio,8.2,Excellent ,47,32.80
131,万象建国大酒店,Business Double Room with Gym Access,7.2,Very good ,4,16.40
132,Dream Home Hostel 1,Standard Double Room with Shared Bathroom,8.5,Excellent ,356,17.80
133,Vientiane Star homestay AAG,N/A,7.6,Very good ,36,20.06
134,house for rent in Vientiane Lao,N/A,2.3,Poor ,1,20.43
135,Continental Plaza Vientiane,N/A,7.6,Very good ,24,N/A
136,Scorpion Wings Eco-Resort,N/A,8.3,Excellent ,2,4.63
137,Lao Lake House,Standard King Room,9.6,Exceptional ,1,60.18
138,LAOTEL VIENTIANE,Standard Double or Twin Room,8.2,Excellent ,32,51.83
139,WIN HOTEL,Deluxe Room Double,2,Poor ,1,20.72
140,Twin Beds Tatami Room [A2],N/A,3.6,Poor ,1,47.35
141,Senesouk Hotel,Standard Twin Bed,7.1,Very good ,63,25.58
142,Villa Lao,Standard Double Room,7.1,Very good ,421,55.23
143,MT Apartment,N/A,8.8,Excellent ,2,41.03
144,The Park Vientiane,Deluxe Room,8.1,Excellent ,60,73.49
145,JI HOTEL,Superior Twin Room with City View,N/A,N/A,N/A,48.32
146,VT Home,N/A,N/A,N/A,N/A,46.49
147,Paiberngboc Resort,Double Room,7.6,Very good ,5,33.75
148,Villademekong,Standard Room,N/A,N/A,N/A,32.83
149,Riverfront Apartments Vientiane,N/A,N/A,N/A,N/A,118.55
150,Dao Residence Boutique Apartment,N/A,N/A,N/A,N/A,84.49
